instruction,response,product_name,total_price,price_per_unit,unit_value,unit
"What is the price per unit for La Victoria Green Taco Sauce Mild, 12 Ounce (Pack of 6)?","The price per unit for La Victoria Green Taco Sauce Mild, 12 Ounce (Pack of 6) is $0.068 per Fl Oz. The total price is $4.89 for 72.0 Fl Oz.","La Victoria Green Taco Sauce Mild, 12 Ounce (Pack of 6)",4.89,0.0679,72.0,Fl Oz
"What is the price per unit for Salerno Cookies, The Original Butter Cookies, 8 Ounce (Pack of 4)?","The price per unit for Salerno Cookies, The Original Butter Cookies, 8 Ounce (Pack of 4) is $0.410 per Ounce. The total price is $13.12 for 32.0 Ounce.","Salerno Cookies, The Original Butter Cookies, 8 Ounce (Pack of 4)",13.12,0.41,32.0,Ounce
"What is the price per unit for Bear Creek Hearty Soup Bowl, Creamy Chicken with Rice, 1.9 Ounce (Pack of 6)?","The price per unit for Bear Creek Hearty Soup Bowl, Creamy Chicken with Rice, 1.9 Ounce (Pack of 6) is $0.173 per Ounce. The total price is $1.97 for 11.4 Ounce.","Bear Creek Hearty Soup Bowl, Creamy Chicken with Rice, 1.9 Ounce (Pack of 6)",1.97,0.1728,11.4,Ounce
"What is the price per unit for Judee’s Blue Cheese Powder 11.25 oz - Gluten-Free and Nut-Free - Use in Seasonings and Salad Dressings - Great for Dips, Spreads and Sauces - Made in USA?","The price per unit for Judee’s Blue Cheese Powder 11.25 oz - Gluten-Free and Nut-Free - Use in Seasonings and Salad Dressings - Great for Dips, Spreads and Sauces - Made in USA is $2.697 per Ounce. The total price is $30.34 for 11.2 Ounce.","Judee’s Blue Cheese Powder 11.25 oz - Gluten-Free and Nut-Free - Use in Seasonings and Salad Dressings - Great for Dips, Spreads and Sauces - Made in USA",30.34,2.6969,11.25,Ounce
"What is the price per unit for kedem Sherry Cooking Wine, 12.7 Ounce - 12 per case.?","The price per unit for kedem Sherry Cooking Wine, 12.7 Ounce - 12 per case. is $5.541 per Count. The total price is $66.49 for 12.0 Count.","kedem Sherry Cooking Wine, 12.7 Ounce - 12 per case.",66.49,5.5408,12.0,Count
"What is the price per unit for Member's Mark Member's Mark, Basil, 6.25 oz?","The price per unit for Member's Mark Member's Mark, Basil, 6.25 oz is $2.960 per ounce. The total price is $18.50 for 6.2 ounce.","Member's Mark Member's Mark, Basil, 6.25 oz",18.5,2.96,6.25,ounce
"What is the price per unit for Goya Foods Sazonador Total Seasoning, 30 Ounce (Pack of 6)?","The price per unit for Goya Foods Sazonador Total Seasoning, 30 Ounce (Pack of 6) is $0.033 per Ounce. The total price is $5.99 for 180.0 Ounce.","Goya Foods Sazonador Total Seasoning, 30 Ounce (Pack of 6)",5.99,0.0333,180.0,Ounce
What is the price per unit for VineCo Original Series Chilean Sauvignon Blanc Wine Making Ingredient Kit?,The price per unit for VineCo Original Series Chilean Sauvignon Blanc Wine Making Ingredient Kit is $94.000 per Count. The total price is $94.00 for 1.0 Count.,VineCo Original Series Chilean Sauvignon Blanc Wine Making Ingredient Kit,94.0,94.0,1.0,Count
"What is the price per unit for NATURES PATH CEREAL FLK MULTIGRAIN ORG ECO, 32 OZ, PK- 6?","The price per unit for NATURES PATH CEREAL FLK MULTIGRAIN ORG ECO, 32 OZ, PK- 6 is $0.186 per Fl Oz. The total price is $35.74 for 192.0 Fl Oz.","NATURES PATH CEREAL FLK MULTIGRAIN ORG ECO, 32 OZ, PK- 6",35.74,0.1861,192.0,Fl Oz
What is the price per unit for Mrs. Miller's Seedless Black Raspberry Jam 9 Ounce (Pack of 4)?,The price per unit for Mrs. Miller's Seedless Black Raspberry Jam 9 Ounce (Pack of 4) is $3.533 per Ounce. The total price is $31.80 for 9.0 Ounce.,Mrs. Miller's Seedless Black Raspberry Jam 9 Ounce (Pack of 4),31.8,3.5333,9.0,Ounce
What is the price per unit for Braswell's Key Lime Marinade for Sole 12oz?,The price per unit for Braswell's Key Lime Marinade for Sole 12oz is $1.333 per Ounce. The total price is $15.99 for 12.0 Ounce.,Braswell's Key Lime Marinade for Sole 12oz,15.99,1.3325,12.0,Ounce
"What is the price per unit for Albanese Assorted Gummi Bears, Sugar Free, 5-Pound Bags (Pack of 2)?","The price per unit for Albanese Assorted Gummi Bears, Sugar Free, 5-Pound Bags (Pack of 2) is $0.209 per Ounce. The total price is $33.50 for 160.0 Ounce.","Albanese Assorted Gummi Bears, Sugar Free, 5-Pound Bags (Pack of 2)",33.5,0.2094,160.0,Ounce
"What is the price per unit for KiZE Bars, 4 Count, Cookie Dough Flavor, High Protein, Dairy Free, Gluten Free, Non-GMO, Soy Free Snack Food Bars?","The price per unit for KiZE Bars, 4 Count, Cookie Dough Flavor, High Protein, Dairy Free, Gluten Free, Non-GMO, Soy Free Snack Food Bars is $1.745 per Count. The total price is $6.98 for 4.0 Count.","KiZE Bars, 4 Count, Cookie Dough Flavor, High Protein, Dairy Free, Gluten Free, Non-GMO, Soy Free Snack Food Bars",6.98,1.745,4.0,Count
