Product_Name,Total_Price,Price_Per_Unit,Unit_Value,Unit
Generic M.adhava Avocado Oil 1 liter (Pack of 6),145.97,4135.1275,0.04,Ounce
"LorAnn Cinnamon Oil SS Flavor, 1 dram bottle (.0125 fl oz - 3.7ml) 24 pack",49.44,3955.2,0.01,Fl Oz
"4Patriots 1-Year Survival Food Kit: Emergency Food Supply Designed to Last 25 Years, 2,752 Servings",2796.0,2796.0,1.0,Count
"Maybelline Master Precise Skinny Gel Eyeliner Pencil, Defining Black, 0.004 oz.",9.49,2711.4286,0.0,Ounce
500 Qwik Stiks Sugar-Free Electrolyte Powdered Beverage Mix (Mixed berry),257.45,2340.4545,0.11,Ounce
Coffee Creamer Portion 2.8g Packet Single Serve 1000/Pack,161.88,1638.4615,0.1,Ounce
Checolines Forritos Chilarines Tamarindo Confitado Sugared Tamarind Candy 4 Pack By Border Merchant,37.95,1075.0708,0.04,Ounce
"Frontier Co-op Organic Saffron Threads, 0.01 Ounce Bottle, Hand Harvested, Mediterranean, Arabian & Indian Recipes, Kosher",18.22,1012.2222,0.02,Ounce
"Maybelline Color Sensational Shaping Lip Liner, Dusty Rose, 0.01 oz.",9.14,914.0,0.01,Ounce
"Maybelline Color Sensational Shaping Lip Liner, Clear, 0.01 oz.",8.64,864.5,0.01,Ounce
"Maybelline Color Sensational Shaping Lip Liner, Totally Toffee, 0.01 oz.",8.49,849.0,0.01,Ounce
"Maybelline Color Sensational Shaping Lip Liner, Rich Wine, 0.01 oz.",8.39,839.0,0.01,Ounce
"Revlon ColorStay Brow Pencil, Dark Brown, 0.012 Ounce",9.99,832.5,0.01,Ounce
"Revlon ColorStay Brow Pencil, Soft Brown, 0.012 Ounce",9.99,832.5,0.01,Ounce
"Maybelline Color Sensational Shaping Lip Liner, Wild Violets, 0.01 oz.",8.29,829.0,0.01,Ounce
"Caviaroli Olive Oil Caviar - Arbequina, 50 gram",29.0,821.5297,0.04,Ounce
"Frontier Co-op Saffron Threads, 0.018 Ounce Bottle, Hand Harvested, For Mediterranean, Arabian and Indian Recipes, Kosher",15.51,775.5,0.02,Ounce
"Revlon ColorStay Eyeliner Pencil, Jade, 0.01 Ounce",7.49,749.0,0.01,Ounce
Cote D’Or Noir De Noir Mignonnette (x24) 240g,24.9,705.3824,0.04,Ounce
"Bob's Red Mill, Whole Grain Oat Flour, 1.37 Pound (Pack of 2)",24.04,681.0198,0.04,Ounce
"Neutrogena MoistureSmooth Color Stick for Lips, Moisturizing and Conditioning Lipstick with a Balm-Like Formula, Nourishing Shea Butter and Fruit Extracts, 20 Fresh Papaya, .011 oz",7.44,676.3636,0.01,Ounce
The Bright Tea Co. English Breakfast Black Tea Freshpack English Breakfast 0.1 oz Pouch 100/Carton,64.15,641.5,0.1,Ounce
Beverage/Topping Heated Condiment Dispenser from Benchmark #21011,613.58,613.58,1.0,Count
"Blue Dragon Stir Fry Sauce, Pad Thai, Authentic cooking sauce made with Tamarind, Garlic, & a hint of Chili, No Artificial Flavors, 3.4 Ounce (Pack of 12)",20.31,575.3541,0.04,Ounce
"McCormick Gourmet Mediterranean Saffron, 0.035 oz",18.33,523.7143,0.04,Ounce
"Frontier Culinary Spices Saffron, 0.036-Ounce Bottle",14.95,498.3333,0.03,Fl Oz
Jenny Silks White Real Touch Phalaenopsis Silk Orchid Arrangement in a Natural Teak Bowl,496.28,496.28,1.0,Count
"Davidson's Organics, Spiced Pear, 100-count Individually Wrapped Tea Bags",33.89,484.0714,0.07,Count
"Pure Indian Foods Organic Saffron, Traditional Production, 1 g",18.72,468.0,0.04,Ounce
"Bloomingmore Flowers, 300 Farm Fresh Pink Ranunculus",432.98,432.98,1.0,Count
"Bloomingmore | Fresh Cut Flowers | Burgundy Ranunculus | 300 Stems - 20 in | Home, Office, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",432.98,432.98,1.0,Count
Baketivity Chocolate Granola Mix Duff in a Bottle Granola Bar Baking Kit for Kids and Adults Premeasured Ingredients like Oats Banana Chips Vanilla Sugar Unsweetened Coconut and Chocolate Chips,14.99,424.6459,0.04,Ounce
"Frontier Culinary Spices Saffron, 0.036-Ounce Bottle",16.6,415.125,0.04,Ounce
Trebor Extra Strong Peppermint Mints - 4 x 41g,14.29,404.8159,0.04,Ounce
Kool-Aid Green Apple Flavored Unsweetened Caffeine Free Powdered Drink Mix (0.22 oz Packet),87.45,397.5,0.22,Ounce
"Scabiosa Red Velvet, 360 Stems",390.98,390.98,1.0,Count
"Scabiosa Blackberry, 360 Stems",390.98,390.98,1.0,Count
"Scabiosa Candy, 360 Stems",390.98,390.98,1.0,Count
"NuManna USDA ORGANIC Family Pack 162 Servings, Emergency Survival Food Storage Kit, Separate Rations, in a Bucket, Meals Included Have 25 Year Shelf Life, GMO-Free (Single)",389.26,389.26,1.0,Count
"Scabiosa Cherry Vanilla, 360 Stems",386.98,386.98,1.0,Count
"Bloomingmore | Fresh Cut Flowers | Scabiosa Raspberry | 360 Stems - 20 in | Home, Office, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",382.98,382.98,1.0,Count
"Bloomingmore | Fresh Cut Flowers | Scabiosa - Marshmallow | 360 Stems | Home, Office, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",382.98,382.98,1.0,Count
"Good Dees Low Carb Chocolate Sprinkles, No Sugar Added Midnight Moon Keto Sprinkles with All Natural Coloring, Diabetic, Dye-Free, Dairy-Free & Gluten Free | (1g Net Carbs Per Serving)",13.49,382.153,0.04,Ounce
HP Brown Sauce Handy Pack - 285g,13.1,371.1048,0.04,Ounce
"Premium Kopi Luwak From Indonesia Wild Palm Civets Arabica Coffee Beans (Kopi Honey, 1.76 Ounce (Pack of 1))",13.0,368.272,0.04,Ounce
"Thomas Keto Bagel Thins, 8 Count 13 Oz - (2 Pack)",13.0,368.272,0.04,Ounce
"| SPIRIT OF ART ⇄ SAFFRON | Premium Spanish Saffron, 100% Natural And Hand Picked, Grade A+, Natural Color, Natural Smell, Pleasant Aroma, 1 Gram ≈ 0.04 Ounce »",12.98,367.7054,0.04,Ounce
Asami Vanilla Rooibos Tea - Madagascar Dream Rooibos Tea From South Africa Sustainably Sourced Directly With African Farmers | Naturally Precious Loose Leaf Decaf Tea Enjoyed Hot or Cold | 100g,12.97,367.4221,0.04,Ounce
"TEAVANA Starbucks Chamomile Mint Blossom Herbal Tea Sachets, 24 Count",39.88,362.5455,0.11,Ounce
"Numanna Defender Nutritive Pack Bucket 204 Servings GMO Free, Easy To Prepare Meals with Organic Grains and Super Foods Nutrient Rich Meals Pack of 1",360.76,360.76,1.0,Count
Seasonal Visions Animated Stew Brew Witch Prop with Fog Machine,354.98,354.985,1.0,Count
"Tabasco Single Serve Pepper Sauce, 3 gr. Packets (Pack of 200)",35.99,340.1701,0.11,Ounce
"East West Furniture HLDU3-MAH-W 3 Piece Dining Set Contains a Round Dining Room Table with Pedestal and 2 Kitchen Chairs, 42x42 Inch, Mahogany",333.27,333.27,1.0,Count
"Cultures for Health Thermophilic Cheese Starter | 4 Packets Gluten Free Direct-Set Culture + 2 Vegetable Rennet Tablets | DIY Hard Cheese, Parmesan, Mozzarella, Asiago, Romano, Swiss Cheese, & More",19.99,333.1667,0.06,Ounce
Honey Raw Fresh Air Idaho Grade A Light Amber Honey (60 Pound),329.99,329.99,1.0,Count
"FOUR SIGMATIC Organic Reishi Elixir Mix, 0.1 OZ",32.34,323.4,0.1,Ounce
"Hopes Gourmet All Butter Mini Chocolate Chip Cookie Dough, 0.5 Ounce -- 640 per case.",160.88,321.76,0.5,Ounce
"L'Oréal Paris Voluminous Smoldering Eyeliner, Grey, 0.087 oz.",27.94,321.1494,0.09,Ounce
"Woodford Reserve Aromatic Bitters, 2 ML",22.48,321.1429,0.07,Fl Oz
"Sucralose Blended with Erythritol All Purpose Sweetener, 25 kgs (55lbs)",319.89,319.89,1.0,Count
Fractal Colors Calligra Food Brush Pen 1.3 Grams Brown,12.59,314.75,0.04,Fl Oz
"International Delight Coffee Creamers Liquid Non-Dairy Creamer Singles 3 Flavor Assortment (100) Coffee Creamer Singles for Home, Office, Coffee, Bar, Gift",24.95,311.875,0.08,Fl Oz
"Earth Balance Vegan White Cheddar Flavored Snack Puffs, Flavorful Gluten Free Snacks, 4 oz Bag",76.89,307.56,0.25,Ounce
"Dulcet's Unique Heart Shape Heavenly Chocolate Gift Basket, Gourmet Christmas Holiday Corporate Food Gifts in Elegant Box, Thanksgiving, Halloween, Birthday or Get Well Baskets Idea for Men & Women, 42 Pieces",300.0,300.0,1.0,Count
"Gourmet Chocolate Gift Baskets, Anniversary and Wedding Chocolate Gift Baskets For Women, Men, Husband, Wife, Him, Her By Dulcet Gift Baskets",299.0,299.0,1.0,Count
"Tory Burch Coco Ginger Shortbread Sandal 9, Pink",298.0,298.0,1.0,Ounce
Biscoff cream,10.0,283.2861,0.04,Ounce
"Efrutti Pizza Gummy Candy, 0.55 Ounce -- 384 per case.",153.33,278.7818,0.55,Ounce
Milwaukee Abrasive Cut-Off Machine 14 in. 15 Amp Corded Quick-Adjust Vise Clamp,270.69,270.69,1.0,Count
Flavia Freshpack Intenso Coffee,83.96,262.375,0.32,Ounce
"Numanna Family Pack Bucket 432 Servings Easy Prep Survival Meals Emergency Food Supply Everyday Meals Camping Food Non-Gmo, No Added Preservatives Made in USA 25+ Year Shelf Life Long Term Meal",779.25,259.75,3.0,Count
"McCormick Monteal Steak Seasoning with No Paprika - 25 lb. pack, 1 per case",257.14,257.14,1.0,Count
Walker's Nonsuch Assorted Toffees & Eclairs Bag 150g,9.07,256.9405,0.04,Ounce
Twisted X Men's Ruff Stock Western Boot Square Toe Dark Brown 11.5 D(M) US,255.95,255.95,1.0,Count
Mini 1/8th Ounce Sauce,31.99,255.92,0.12,Fl Oz
"SPIRIT OF ART, Saffron - Zaffron - Afghanistan Spice - 3 Grams",26.99,255.104,0.11,Ounce
Military Outdoor Clothing MRE(Meal-Ready-to-Eat) Entre: Southwest Style Beef And Black Beans With Sauce (Case Of 78),254.99,254.99,1.0,Count
Davidsons Organics 7384 2 oz Herbal Hibiscus Flowers Sampler Tea - Pack of 6,40.27,251.6875,0.16,Ounce
Cultures for Health Crème Fraîche Starter Culture | 4 Packets Direct-Set Active Cultures | DIY Homemade Rich Sour Cream | Cultures on Your Counter in Just 12 Hours | Make with Cream or Half and Half,19.99,249.875,0.08,Ounce
Cultures for Health Dehydrated SCOBY Kombucha Starter | DIY Fizzy Fermented Tea Probiotic Drink | Heirloom Culture Makes Limitless Batches | Dairy Free Gluten Free Vegan Superfood | pH Strips Included,19.99,249.875,0.08,Ounce
"Revlon Colorstay Gel Envy Longwear Nail Enamel, All On Red, 0.04 Fluid Ounce",9.99,249.75,0.04,Fl Oz
"Magnificent Mixed Greens Bouquet | 15-Pack | Fresh Cut Greenery For Delivery By Bloomingmore | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",248.98,248.98,1.0,Count
Keto Chow Elite Kit | Keto Meal Replacement Shake Powder | Nutritionally Complete | Low Carb Shakes | Delicious Easy Meal Substitute | Protein Rich Keto Food You Choose The Fat | Single Meal Samples,246.1,246.1,1.0,Count
"Gumball Dreams Classic Gumball Machine/Candy Dispenser, 15 Inch - Bubble Gum Pink",245.0,245.0,1.0,Count
"Bloomingmore | Fresh Cut Flowers | MNatural Silver & Black Painted Roses | 125 Stems - 20 in | Home, Office, Wedding Decor, DIY, Party Event, Housewarming.",242.98,242.98,1.0,Count
"Peanut Butter Curl Sauce, 5 Gallon, 45 Pound -- 1 each.",242.89,242.89,1.0,Count
Sleep Master 10'' Therapeutic Memory Foam Mattress - Queen,241.16,241.16,1.0,Count
Layla Painted Roses 50 cm - 125 Stems,239.38,239.38,1.0,Count
"Food to Live Dried Diced Mango, 5 Pounds Sweetened, Unsulfured, Sulfite Free Chunks, No Added Color, No Artificial Flavors, Kosher Tropical Fruit, Vegan, Bulk",42.19,239.1723,0.18,Ounce
"Bloomingmore | Fresh Cut Flowers | Blue Fairy Painted Roses 50 cm | 125 Stems | Home, Office, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",231.98,231.98,1.0,Count
"Bulk Seeds Brown Flax Organic, LB (Pack of 25)25",230.89,230.89,1.0,Count
"Gourmet Ground Cardamom All Natural by Its Delish, Bulk (5 lbs)",230.0,230.0,1.0,Count
"SPIRIT OF ART - Saffron Threads - 100% Fresh, Pure Saffron from Afghanistan - Premium Award Winner Red Saffron Threads for Cooking Spanish Rice & Risotto, Golden Milk & More - Divine Healing Saffron, 2 Grams",16.0,226.9504,0.07,Ounce
"Persian Saffron Spice from Afghanistan by Slofoodgroup, Premium Quality Saffron Threads, All Red Saffron filaments for cooking, tea, Baking and More, Grade 1 Quality 1 Gram",8.0,226.6289,0.04,Ounce
Fennel Seeds 100 GM | 3.5 oz | (Saunf Sabut) Whole Spice All Natural ~ Gluten Friendly | NON-GMO | Vegan | Indian Origin,7.99,226.3456,0.04,Ounce
